Customer_Age ,Customer_income ,Home_ownership,Employment_length,Purpose_of_loan,Loan_risk_grade,Loan_amount ,Interest_rate,Loan_Status,Loan_amount_as_%_of_income,Previous_default_history,Credit_history_length,person_emp_length_clean,loan_int_rate_clean
20,64000,RENT,3,VENTURE,D,16000,15.31,1,0.25,Y,4,3,15.31
20,32652,MORTGAGE,0,PERSONAL,D,6000,14.61,1,0.18,N,4,0,14.61
20,94000,RENT,4,EDUCATION,D,5000,16.02,0,0.05,N,3,4,16.02
20,42000,RENT,4,VENTURE,B,6500,11.71,0,0.15,N,2,4,11.71
20,34800,RENT,3,MEDICAL,C,7000,13.61,0,0.2,Y,2,3,13.61
20,65000,MORTGAGE,4,EDUCATION,B,4800,9.99,0,0.07,N,2,4,9.99
20,77000,MORTGAGE,4,VENTURE,A,6000,8,0,0.08,N,2,4,8
20,77052,MORTGAGE,4,EDUCATION,B,24250,11.36,0,0.31,N,2,4,11.36
20,85920,MORTGAGE,3,DEBTCONSOLIDATION,A,12000,8.49,0,0.14,N,2,3,8.49
20,98000,MORTGAGE,4,EDUCATION,D,24250,,0,0.25,N,4,4,15.31
20,115731,MORTGAGE,4,DEBTCONSOLIDATION,B,9625,10.74,0,0.08,N,3,4,10.74
20,135000,MORTGAGE,1,VENTURE,C,15000,15.96,0,0.11,Y,2,1,15.96
20,188004,MORTGAGE,4,EDUCATION,A,2000,8.59,0,0.01,N,4,4,8.59
20,188004,MORTGAGE,4,PERSONAL,A,2000,8.59,0,0.01,N,2,4,8.59
20,65000,MORTGAGE,4,VENTURE,B,4800,9.99,0,0.07,N,4,4,9.99
21,9600,OWN,5,EDUCATION,B,1000,11.14,0,0.1,N,2,5,11.14
21,9900,OWN,2,VENTURE,A,2500,7.14,1,0.25,N,2,2,7.14
21,10000,OWN,6,VENTURE,D,1600,14.74,1,0.16,N,3,6,14.74
21,10000,OWN,2,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,2,8.63
21,11000,MORTGAGE,3,VENTURE,E,4575,17.74,1,0.42,Y,3,3,17.74
21,11389,OTHER,5,EDUCATION,C,4000,12.84,1,0.35,Y,2,5,12.84
21,11520,OWN,5,MEDICAL,B,2000,11.12,1,0.17,N,3,5,11.12
21,12000,OWN,5,EDUCATION,A,2500,7.51,1,0.21,N,4,5,7.51
21,131000,RENT,0,VENTURE,A,30000,5.99,0,0.23,N,4,0,5.99
21,12000,OWN,6,EDUCATION,C,3000,13.61,1,0.25,Y,3,6,13.61
21,12000,OWN,0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0,13.48
21,12000,MORTGAGE,5,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,5,15.68
21,42500,RENT,3,EDUCATION,C,25000,12.73,1,0.59,Y,3,3,12.73
21,49000,RENT,4,EDUCATION,B,25000,10.99,1,0.51,N,2,4,10.99
21,13200,OWN,0,VENTURE,C,4500,12.98,1,0.34,N,4,0,12.98
21,200000,MORTGAGE,5,EDUCATION,C,16000,14.65,0,0.08,N,4,5,14.65
21,60000,RENT,6,EDUCATION,B,25000,10.99,1,0.42,N,4,6,10.99
21,200000,MORTGAGE,2,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,2,13.99
21,14400,OWN,0,HOMEIMPROVEMENT,B,3000,,1,0.21,N,4,0,10.99
21,192000,MORTGAGE,123,VENTURE,A,20000,6.54,0,0.1,N,4,123,6.54
21,14400,OWN,4,VENTURE,C,6250,14.72,1,0.43,N,2,4,14.72
21,14400,MORTGAGE,0,MEDICAL,C,1500,,0,0.1,N,4,0,13.48
21,15000,OWN,0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2,0,7.9
21,15000,OWN,0,HOMEIMPROVEMENT,C,3175,11.54,1,0.21,Y,3,0,11.54
21,15120,MORTGAGE,0,EDUCATION,B,1500,10.59,0,0.1,N,2,0,10.59
21,15600,OWN,5,VENTURE,A,1000,7.29,0,0.06,N,4,5,7.29
21,165000,MORTGAGE,5,EDUCATION,A,20000,6.91,0,0.12,N,4,5,6.91
21,160000,MORTGAGE,3,VENTURE,D,15250,15.31,0,0.1,Y,4,3,15.31
21,16800,MORTGAGE,0,VENTURE,B,6000,10.39,1,0.36,N,4,0,10.39
21,44964,RENT,2,EDUCATION,D,24000,16.29,1,0.53,Y,2,2,16.29
21,60000,RENT,5,MEDICAL,B,24000,10.75,1,0.4,N,2,5,10.75
21,18000,OWN,3,HOMEIMPROVEMENT,D,4900,14.54,1,0.27,Y,4,4,14.54
21,18000,OWN,,EDUCATION,B,5000,11.11,1,0.28,N,2,0,11.11
21,18000,OWN,0,VENTURE,B,6250,10.62,1,0.35,N,4,0,10.62
21,18000,OWN,1,PERSONAL,B,2500,11.36,0,0.14,N,3,1,11.36
21,18000,OWN,5,VENTURE,B,3375,,1,0.19,N,2,5,10.99
21,18701,MORTGAGE,0,PERSONAL,D,4200,14.11,1,0.22,Y,4,0,14.11
21,19000,OWN,5,MEDICAL,A,6000,8.49,1,0.32,N,3,5,8.49
21,19012,MORTGAGE,0,DEBTCONSOLIDATION,D,3500,14.61,1,0.18,N,3,0,14.61
21,35000,RENT,3,VENTURE,B,21000,12.53,1,0.6,N,4,4,12.53
21,19253,MORTGAGE,,DEBTCONSOLIDATION,A,6250,6.17,1,0.32,N,3,0,6.17
21,19500,MORTGAGE,0,EDUCATION,B,15000,9.64,1,0.77,N,2,0,9.64
21,36000,RENT,5,MEDICAL,D,20000,,1,0.56,Y,2,5,15.31
21,20245,OWN,5,VENTURE,A,3550,,0,0.18,N,4,5,7.49
21,20400,OWN,2,EDUCATION,C,1275,15.23,0,0.06,Y,3,2,15.23
21,20400,OWN,5,MEDICAL,B,2400,11.49,0,0.12,N,4,5,11.49
21,56000,RENT,4,VENTURE,E,20000,17.39,1,0.36,Y,3,4,17.39
